iter	RMSEWithUncertainty
0	0.3589643481
1	0.3218545799
2	0.2901805179
3	0.2534194406
4	0.2216183458
5	0.1988263566
6	0.1710821657
7	0.1507785267
8	0.1304286966
9	0.1131527891
10	0.09533800852
11	0.08513150062
12	0.07271357237
13	0.06049545746
14	0.05475069196
15	0.04275973113
16	0.03762970174
17	0.03270798361
18	0.0228496921
19	0.01718194858
20	0.0135425922
21	0.008065575099
22	0.001804687274
23	-0.0005836753563
24	-0.002685308914
25	-0.004880927103
26	-0.006350667001
27	-0.007455054221
28	-0.01176590605
29	-0.01341102276
30	-0.01480655847
31	-0.01970167452
32	-0.02401326987
33	-0.02503813844
34	-0.02612620997
35	-0.02818246018
36	-0.02931954462
37	-0.03191224133
38	-0.03242383243
39	-0.03427293144
40	-0.03536051398
41	-0.03587252398
42	-0.0377454327
43	-0.038558623
44	-0.04008500971
45	-0.04107729314
46	-0.04178042065
47	-0.04240729057
48	-0.04267881129
49	-0.04414312661
50	-0.04483637891
51	-0.04549392288
52	-0.04679256393
53	-0.04782414835
54	-0.0491186354
55	-0.04994000601
56	-0.05040190471
57	-0.05077252388
58	-0.05199527349
59	-0.05236531764
60	-0.05286427423
61	-0.05319672417
62	-0.05367135826
63	-0.05396995877
64	-0.05479235603
65	-0.05509770294
66	-0.05540798479
67	-0.05560551295
68	-0.05625460456
69	-0.05653573495
70	-0.0570233557
71	-0.05778274432
72	-0.05835177109
73	-0.05856312371
74	-0.05998667407
75	-0.06077438962
76	-0.06141371219
77	-0.06159303143
78	-0.06228047743
79	-0.06267183772
80	-0.06430239403
81	-0.06494308209
82	-0.06506223392
83	-0.06585624065
84	-0.066081678
85	-0.06653393322
86	-0.06709571084
87	-0.06741018557
88	-0.06752096767
89	-0.06770029425
90	-0.06814135136
91	-0.06829029959
92	-0.06933237922
93	-0.06944383567
94	-0.06958018825
95	-0.06975772816
96	-0.07012678618
97	-0.07081337373
98	-0.07100647108
99	-0.07115415239
100	-0.07141536423
101	-0.07198246676
102	-0.0721290678
103	-0.07267781236
104	-0.0729458281
105	-0.07328140593
106	-0.07390027575
107	-0.07421299723
108	-0.07435481391
109	-0.07498359965
110	-0.07522187245
111	-0.07563066896
112	-0.07613710932
113	-0.07626758185
114	-0.07649047729
115	-0.07713240296
116	-0.07793996771
117	-0.07823839104
118	-0.07835864508
119	-0.07858148901
120	-0.07881912727
121	-0.07955454212
122	-0.07965448297
123	-0.07991315008
124	-0.08023298363
125	-0.08053699516
126	-0.0807502683
127	-0.08106306032
128	-0.08130973407
129	-0.08156744021
130	-0.08183151227
131	-0.08217843227
132	-0.08255954144
133	-0.08276676088
134	-0.08282491608
135	-0.08303713863
136	-0.08345095656
137	-0.08410351465
138	-0.08433774392
139	-0.08458275606
140	-0.08486614107
141	-0.08499341949
142	-0.08510379816
143	-0.08524925271
144	-0.08551686852
145	-0.08566754218
146	-0.08583450299
147	-0.08620016449
148	-0.08631400542
149	-0.08640677351
150	-0.08663343179
151	-0.08680907685
152	-0.08726829471
153	-0.08738595645
154	-0.08742881312
155	-0.08770878825
156	-0.08796312797
157	-0.08819217833
158	-0.088729106
159	-0.08887283995
160	-0.08897077721
161	-0.08933547662
162	-0.08942916497
163	-0.08961680147
164	-0.09000165255
165	-0.09019708875
166	-0.09024955342
167	-0.09035668025
168	-0.09050731457
169	-0.09056110586
170	-0.09082205878
171	-0.0910362965
172	-0.0912577257
173	-0.09156580458
174	-0.09207208837
175	-0.09218431214
176	-0.0922659819
