iter	Passed	Remaining
0	113	568232
1	171	427719
2	232	386902
3	299	374610
4	357	357474
5	417	347626
6	484	345406
7	543	339035
8	607	337137
9	669	333952
10	733	332870
11	797	331324
12	860	330135
13	934	332678
14	995	330930
15	1072	334141
16	1141	334475
17	1206	333911
18	1283	336378
19	1357	338131
20	1428	338763
21	1497	338758
22	1573	340420
23	1646	341432
24	1725	343407
25	1801	344665
26	1869	344324
27	1947	345905
28	2043	350327
29	2124	351903
30	2203	353149
31	2302	357534
32	2392	360180
33	2484	362841
34	2564	363787
35	2636	363495
36	2717	364479
37	2791	364470
38	2871	365226
39	2963	367433
40	3063	370563
41	3151	372027
42	3223	371589
43	3293	370969
44	3353	369244
45	3420	368415
46	3489	367778
47	3553	366598
48	3622	365971
49	3687	365022
50	3754	364346
51	3822	363724
52	3886	362765
53	3958	362539
54	4027	362086
55	4102	362157
56	4176	362200
57	4248	361978
58	4323	362078
59	4402	362510
60	4482	362932
61	4558	363027
62	4631	362928
63	4703	362771
64	4773	362429
65	4846	362326
66	4928	362845
67	5000	362699
68	5054	361199
69	5113	360113
70	5172	359075
71	5221	357396
72	5279	356333
73	5333	355054
74	5390	354006
75	5452	353254
76	5503	351837
77	5555	350585
78	5607	349272
79	5678	349250
80	5740	348581
81	5795	347589
82	5847	346430
83	5910	345902
84	5971	345270
85	6034	344785
86	6093	344084
87	6149	343270
88	6201	342173
89	6259	341490
90	6312	340533
91	6367	339679
92	6423	338948
93	6473	337884
94	6527	337013
95	6579	336104
96	6637	335488
97	6696	334969
98	6751	334225
99	6807	333561
100	6863	332909
101	6927	332650
102	6998	332750
103	7060	332394
104	7111	331526
105	7171	331099
106	7234	330809
107	7293	330357
108	7345	329612
109	7399	328927
110	7457	328445
111	7508	327700
112	7570	327422
113	7627	326909
114	7685	326470
115	7753	326453
116	7824	326555
117	7888	326360
118	7981	327364
119	8043	327119
120	8109	326992
121	8172	326761
122	8235	326556
123	8306	326639
124	8370	326451
125	8430	326103
126	8494	325930
127	8565	326039
128	8622	325582
129	8682	325253
130	8746	325073
131	8817	325184
132	8894	325487
133	8969	325707
134	9032	325505
135	9108	325775
136	9193	326324
137	9277	326847
138	9335	326467
139	9395	326174
140	9457	325907
141	9528	325978
142	9591	325762
143	9656	325631
144	9717	325380
145	9784	325288
146	9852	325259
147	9924	325365
148	9991	325298
149	10057	325203
150	10125	325163
151	10189	325001
152	10260	325044
153	10333	325184
154	10383	324574
155	10440	324187
156	10501	323956
157	10553	323408
158	10614	323176
159	10678	323010
160	10732	322561
161	10793	322328
162	10849	321945
163	10908	321681
164	10976	321634
165	11033	321306
166	11088	320912
167	11140	320408
168	11202	320228
169	11253	319728
170	11311	319426
171	11369	319150
172	11425	318798
173	11483	318506
174	11542	318235
175	11597	317876
176	11649	317422
177	11714	317336
178	11763	316836
179	11817	316441
180	11875	316189
181	11943	316182
182	12008	316095
183	12059	315657
184	12115	315321
185	12171	315014
186	12224	314638
187	12284	314422
188	12333	313960
189	12399	313907
190	12457	313642
191	12513	313349
192	12565	312973
193	12628	312849
194	12678	312399
195	12745	312395
196	12803	312162
197	12857	311825
198	12919	311689
199	12974	311395
200	13024	310970
201	13076	310590
202	13134	310377
203	13190	310110
204	13245	309816
205	13301	309554
206	13353	309188
207	13411	308970
208	13468	308755
209	13520	308402
210	13574	308097
211	13628	307804
212	13680	307467
213	13731	307108
214	13801	307160
215	13859	306955
216	13928	307013
217	13982	306717
218	14039	306499
219	14099	306335
220	14152	306048
221	14209	305832
222	14265	305593
223	14319	305310
224	14380	305177
225	14441	305062
226	14497	304840
227	14551	304554
228	14605	304284
229	14667	304192
230	14721	303919
231	14780	303768
232	14834	303508
233	14900	303484
234	14962	303386
235	15020	303206
236	15071	302884
237	15132	302769
238	15187	302535
239	15237	302205
240	15291	301958
241	15357	301946
242	15421	301895
243	15472	301593
244	15531	301441
245	15592	301328
246	15644	301045
247	15713	301085
248	15765	300802
249	15818	300555
250	15878	300430
251	15952	300568
252	16007	300347
253	16062	300130
254	16118	299930
255	16169	299635
256	16232	299577
257	16281	299255
258	16337	299052
259	16393	298859
260	16456	298802
261	16511	298599
262	16569	298442
263	16623	298208
264	16681	298060
265	16733	297799
266	16795	297724
267	16849	297500
268	16917	297534
269	16973	297356
270	17030	297183
271	17097	297193
272	17174	297369
273	17229	297179
274	17288	297048
275	17350	296975
276	17397	296644
277	17453	296457
278	17508	296255
279	17566	296123
280	17624	295973
281	17694	296035
282	17753	295911
283	17809	295730
284	17869	295636
285	17938	295678
286	18001	295606
287	18059	295478
288	18119	295359
289	18175	295199
290	18227	294960
291	18290	294901
292	18351	294808
293	18423	294895
294	18479	294729
295	18534	294553
296	18591	294396
297	18660	294434
298	18725	294408
299	18781	294240
300	18838	294096
301	18905	294095
302	18973	294116
303	19038	294098
304	19099	294001
305	19159	293909
306	19216	293763
307	19277	293661
308	19346	293699
309	19418	293785
310	19488	293828
311	19553	293806
312	19625	293881
313	19696	293945
314	19770	294049
315	19837	294049
316	19917	294234
317	19980	294184
318	20036	294022
319	20095	293892
320	20152	293750
321	20203	293512
322	20262	293392
323	20314	293180
324	20373	293061
325	20433	292958
326	20491	292838
327	20567	292960
328	20640	293048
329	20710	293091
330	20775	293055
331	20837	292980
332	20907	293025
333	20964	292875
334	21028	292822
335	21098	292862
336	21155	292729
337	21226	292779
338	21288	292698
339	21348	292602
340	21406	292477
341	21474	292485
342	21533	292367
343	21591	292239
344	21660	292262
345	21722	292181
346	21799	292312
347	21863	292265
348	21924	292182
349	21999	292284
350	22064	292239
351	22127	292178
352	22192	292143
353	22256	292105
354	22328	292160
355	22394	292140
356	22455	292043
357	22521	292024
358	22595	292100
359	22661	292085
360	22746	292307
361	22810	292247
362	22877	292237
363	22937	292133
364	22991	291966
365	23049	291839
366	23105	291681
367	23161	291534
368	23224	291468
369	23276	291270
370	23328	291077
371	23386	290944
372	23452	290925
373	23508	290777
374	23586	290896
375	23642	290756
376	23714	290803
377	23768	290633
378	23837	290644
379	23899	290563
380	23950	290359
381	24006	290211
382	24055	289988
383	24105	289772
384	24167	289697
385	24228	289609
386	24278	289401
387	24334	289259
388	24387	289071
389	24445	288960
390	24505	288859
391	24564	288759
392	24619	288603
393	24682	288546
394	24794	289064
395	24867	289118
396	24935	289119
397	25001	289085
398	25062	289003
399	25127	288961
400	25178	288771
