lr-Adam,step,training_loss,epoch,val_loss,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
0.01,19,,,,,,,,,,,,,
,19,1001.66552734375,0,,,,,,,,,,,
0.01,39,,,,,,,,,,,,,
,39,604.9298095703125,0,,,,,,,,,,,
0.01,59,,,,,,,,,,,,,
,59,576.6594848632812,0,,,,,,,,,,,
0.01,79,,,,,,,,,,,,,
,79,628.3446044921875,0,,,,,,,,,,,
0.01,99,,,,,,,,,,,,,
,99,109.03413391113281,0,,,,,,,,,,,
,103,,0,0.01744135469198227,0.25066056847572327,,,,,,,,,
0.01,119,,,,,,,,,,,,,
,119,334.45703125,0,,,,,,,,,,,
0.01,139,,,,,,,,,,,,,
,139,49.832275390625,0,,,,,,,,,,,
0.01,159,,,,,,,,,,,,,
,159,222.15878295898438,0,,,,,,,,,,,
0.01,179,,,,,,,,,,,,,
,179,213.22134399414062,0,,,,,,,,,,,
0.01,199,,,,,,,,,,,,,
,199,-38.06769561767578,0,,,,,,,,,,,
,207,,0,-0.0381954088807106,0.24711643159389496,,,,,,,,,
0.01,219,,,,,,,,,,,,,
,219,121.02684020996094,1,,,,,,,,,,,
0.01,239,,,,,,,,,,,,,
,239,-0.7931327819824219,1,,,,,,,,,,,
0.01,259,,,,,,,,,,,,,
,259,151.3641357421875,1,,,,,,,,,,,
0.01,279,,,,,,,,,,,,,
,279,91.35830688476562,1,,,,,,,,,,,
0.01,299,,,,,,,,,,,,,
,299,-3.1968307495117188,1,,,,,,,,,,,
,311,,1,-0.046906352043151855,0.24427169561386108,,,,,,,,,
0.01,319,,,,,,,,,,,,,
,319,26.651039123535156,1,,,,,,,,,,,
0.01,339,,,,,,,,,,,,,
,339,171.987548828125,1,,,,,,,,,,,
0.01,359,,,,,,,,,,,,,
,359,-75.67710876464844,1,,,,,,,,,,,
0.01,379,,,,,,,,,,,,,
,379,-15.333523750305176,1,,,,,,,,,,,
0.01,399,,,,,,,,,,,,,
,399,-20.823413848876953,1,,,,,,,,,,,
,415,,1,-0.062229786068201065,0.2438434362411499,,,,,,,,,
0.01,419,,,,,,,,,,,,,
,419,-67.86647033691406,2,,,,,,,,,,,
0.01,439,,,,,,,,,,,,,
,439,-113.39958953857422,2,,,,,,,,,,,
0.01,459,,,,,,,,,,,,,
,459,-168.0470733642578,2,,,,,,,,,,,
0.01,479,,,,,,,,,,,,,
,479,-15.81502914428711,2,,,,,,,,,,,
0.01,499,,,,,,,,,,,,,
,499,-4.288360595703125,2,,,,,,,,,,,
0.01,519,,,,,,,,,,,,,
,519,18.651714324951172,2,,,,,,,,,,,
,519,,2,-0.05485506355762482,0.2454138845205307,,,,,,,,,
0.01,539,,,,,,,,,,,,,
,539,155.11228942871094,2,,,,,,,,,,,
