lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
0.01,19,,,,,,,,,,,,,,,,,
,19,764.5257568359375,763.7816162109375,744.1112060546875,0,,,,,,,,,,,,,
0.01,39,,,,,,,,,,,,,,,,,
,39,166.2732391357422,166.41192626953125,-138.6865234375,0,,,,,,,,,,,,,
0.01,59,,,,,,,,,,,,,,,,,
,59,282.3344421386719,282.5478820800781,-213.43869018554688,0,,,,,,,,,,,,,
0.01,79,,,,,,,,,,,,,,,,,
,79,370.4712219238281,370.81683349609375,-345.6126403808594,0,,,,,,,,,,,,,
0.01,99,,,,,,,,,,,,,,,,,
,99,-66.27831268310547,-65.77088928222656,-507.42596435546875,0,,,,,,,,,,,,,
,103,,,,0,-996.1273193359375,-975.8508911132812,-20276.568359375,41.00077819824219,,,,,,,,,
0.01,119,,,,,,,,,,,,,,,,,
,119,94.96875,95.5129165649414,-544.1644897460938,0,,,,,,,,,,,,,
0.01,139,,,,,,,,,,,,,,,,,
,139,-172.31283569335938,-171.56536865234375,-747.4697265625,0,,,,,,,,,,,,,
0.01,159,,,,,,,,,,,,,,,,,
,159,75.1176528930664,75.54549407958984,-427.84490966796875,0,,,,,,,,,,,,,
0.01,179,,,,,,,,,,,,,,,,,
,179,1.3311469554901123,2.011137008666992,-679.989990234375,0,,,,,,,,,,,,,
0.01,199,,,,,,,,,,,,,,,,,
,199,-150.21878051757812,-149.5430908203125,-675.6878662109375,0,,,,,,,,,,,,,
,207,,,,0,-2106.603515625,-2085.982421875,-20621.31640625,41.731998443603516,,,,,,,,,
0.01,219,,,,,,,,,,,,,,,,,
,219,-37.20375061035156,-36.6041259765625,-599.6259155273438,1,,,,,,,,,,,,,
0.01,239,,,,,,,,,,,,,,,,,
,239,-138.84591674804688,-138.09017944335938,-755.7380981445312,1,,,,,,,,,,,,,
0.01,259,,,,,,,,,,,,,,,,,
,259,10.957767486572266,11.544763565063477,-586.9960327148438,1,,,,,,,,,,,,,
0.01,279,,,,,,,,,,,,,,,,,
,279,16.705299377441406,17.382999420166016,-677.7000732421875,1,,,,,,,,,,,,,
0.01,299,,,,,,,,,,,,,,,,,
,299,-152.9783935546875,-152.25538635253906,-723.0052490234375,1,,,,,,,,,,,,,
,311,,,,1,-4123.0244140625,-4101.119140625,-21905.34765625,39.2050666809082,,,,,,,,,
0.01,319,,,,,,,,,,,,,,,,,
,319,-62.24969482421875,-61.63719940185547,-612.4956665039062,1,,,,,,,,,,,,,
0.01,339,,,,,,,,,,,,,,,,,
,339,47.53348159790039,48.199283599853516,-665.8004150390625,1,,,,,,,,,,,,,
0.01,359,,,,,,,,,,,,,,,,,
,359,-178.55206298828125,-177.8157196044922,-736.3366088867188,1,,,,,,,,,,,,,
0.01,379,,,,,,,,,,,,,,,,,
,379,-163.5790252685547,-162.68206787109375,-896.954833984375,1,,,,,,,,,,,,,
0.01,399,,,,,,,,,,,,,,,,,
,399,-122.63328552246094,-121.9464111328125,-686.874267578125,1,,,,,,,,,,,,,
,415,,,,1,-4756.75390625,-4733.52197265625,-23232.0703125,38.820682525634766,,,,,,,,,
0.01,419,,,,,,,,,,,,,,,,,
,419,-160.10914611816406,-159.41632080078125,-692.8223876953125,2,,,,,,,,,,,,,
0.01,439,,,,,,,,,,,,,,,,,
,439,-199.7548370361328,-198.94212341308594,-812.7064208984375,2,,,,,,,,,,,,,
0.01,459,,,,,,,,,,,,,,,,,
,459,-285.92706298828125,-285.1037292480469,-823.321533203125,2,,,,,,,,,,,,,
0.01,479,,,,,,,,,,,,,,,,,
,479,-117.34033966064453,-116.69550323486328,-644.8363647460938,2,,,,,,,,,,,,,
0.01,499,,,,,,,,,,,,,,,,,
,499,-137.63014221191406,-136.7564697265625,-873.665771484375,2,,,,,,,,,,,,,
0.01,519,,,,,,,,,,,,,,,,,
,519,-113.91853332519531,-113.25672149658203,-661.8114013671875,2,,,,,,,,,,,,,
,519,,,,2,-5064.81298828125,-5041.87109375,-22941.12109375,38.57188415527344,,,,,,,,,
0.01,539,,,,,,,,,,,,,,,,,
,539,22.98075294494629,23.547151565551758,-566.3994140625,2,,,,,,,,,,,,,
0.01,559,,,,,,,,,,,,,,,,,
,559,-115.45389556884766,-114.7796401977539,-674.255126953125,2,,,,,,,,,,,,,
0.01,579,,,,,,,,,,,,,,,,,
,579,-218.38319396972656,-217.40042114257812,-982.765869140625,2,,,,,,,,,,,,,
0.01,599,,,,,,,,,,,,,,,,,
,599,-157.19618225097656,-156.48080444335938,-715.3781127929688,2,,,,,,,,,,,,,
0.01,619,,,,,,,,,,,,,,,,,
,619,-200.42115783691406,-199.62564086914062,-795.5226440429688,2,,,,,,,,,,,,,
,623,,,,2,-5200.125,-5177.15771484375,-22967.4765625,38.319637298583984,,,,,,,,,
0.01,639,,,,,,,,,,,,,,,,,
,639,27.485536575317383,28.110057830810547,-624.5215454101562,3,,,,,,,,,,,,,
0.01,659,,,,,,,,,,,,,,,,,
,659,-195.24237060546875,-194.4325714111328,-809.8010864257812,3,,,,,,,,,,,,,
0.01,679,,,,,,,,,,,,,,,,,
,679,-66.6009292602539,-65.94151306152344,-659.4197998046875,3,,,,,,,,,,,,,
0.01,699,,,,,,,,,,,,,,,,,
,699,-155.55165100097656,-154.58792114257812,-963.7352905273438,3,,,,,,,,,,,,,
0.01,719,,,,,,,,,,,,,,,,,
,719,-59.68014144897461,-58.908084869384766,-772.057861328125,3,,,,,,,,,,,,,
,727,,,,3,-5497.55419921875,-5473.7626953125,-23791.810546875,38.35804748535156,,,,,,,,,
0.01,739,,,,,,,,,,,,,,,,,
,739,8.832021713256836,9.560630798339844,-728.6092529296875,3,,,,,,,,,,,,,
0.01,759,,,,,,,,,,,,,,,,,
,759,-83.81568908691406,-83.19842529296875,-617.2642822265625,3,,,,,,,,,,,,,
0.01,779,,,,,,,,,,,,,,,,,
,779,-135.020263671875,-134.06521606445312,-955.0484619140625,3,,,,,,,,,,,,,
